"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0000151",1,1,1,1,"ubiquitin ligase complex","CC"
"2","GO:0000152",1,1,1,1,"nuclear ubiquitin ligase complex","CC"
"3","GO:0000323",1,1,1,1,"lytic vacuole","CC"
"4","GO:0000785",1,1,1,1,"chromatin","CC"
"5","GO:0000792",1,1,1,1,"heterochromatin","CC"
"6","GO:0001725",1,1,1,1,"stress fiber","CC"
"7","GO:0001726",1,1,2,2,"ruffle","CC"
"8","GO:0002116",1,1,1,1,"semaphorin receptor complex","CC"
"9","GO:0005575",1,1,56,56,"cellular_component","CC"
"10","GO:0005576",1,1,9,9,"extracellular region","CC"
"11","GO:0005581",1,1,1,1,"collagen trimer","CC"
"12","GO:0005604",1,1,1,1,"basement membrane","CC"
"13","GO:0005614",1,1,2,2,"interstitial matrix","CC"
"14","GO:0005615",1,1,6,6,"extracellular space","CC"
"15","GO:0005622",1,1,40,40,"intracellular anatomical structure","CC"
"16","GO:0005634",1,1,14,14,"nucleus","CC"
"17","GO:0005635",1,1,1,1,"nuclear envelope","CC"
"18","GO:0005654",1,1,9,9,"nucleoplasm","CC"
"19","GO:0005667",1,1,2,2,"transcription regulator complex","CC"
"20","GO:0005694",1,1,2,2,"chromosome","CC"
"21","GO:0005730",1,1,4,4,"nucleolus","CC"
"22","GO:0005737",1,1,30,30,"cytoplasm","CC"
"23","GO:0005739",1,1,1,1,"mitochondrion","CC"
"24","GO:0005740",1,1,1,1,"mitochondrial envelope","CC"
"25","GO:0005743",1,1,1,1,"mitochondrial inner membrane","CC"
"26","GO:0005758",1,1,1,1,"mitochondrial intermembrane space","CC"
"27","GO:0005764",1,1,1,1,"lysosome","CC"
"28","GO:0005768",1,1,4,4,"endosome","CC"
"29","GO:0005773",1,1,1,1,"vacuole","CC"
"30","GO:0005783",1,1,5,5,"endoplasmic reticulum","CC"
"31","GO:0005789",1,1,4,4,"endoplasmic reticulum membrane","CC"
"32","GO:0005794",1,1,1,1,"Golgi apparatus","CC"
"33","GO:0005811",1,1,2,2,"lipid droplet","CC"
"34","GO:0005813",1,1,2,2,"centrosome","CC"
"35","GO:0005815",1,1,4,4,"microtubule organizing center","CC"
"36","GO:0005819",1,1,2,2,"spindle","CC"
"37","GO:0005829",1,1,14,14,"cytosol","CC"
"38","GO:0005856",1,1,10,10,"cytoskeleton","CC"
"39","GO:0005874",1,1,3,3,"microtubule","CC"
"40","GO:0005876",1,1,1,1,"spindle microtubule","CC"
"41","GO:0005884",1,1,2,2,"actin filament","CC"
"42","GO:0005886",1,1,26,26,"plasma membrane","CC"
"43","GO:0005901",1,1,1,1,"caveola","CC"
"44","GO:0005902",1,1,1,1,"microvillus","CC"
"45","GO:0005905",1,1,1,1,"clathrin-coated pit","CC"
"46","GO:0005911",1,1,5,5,"cell-cell junction","CC"
"47","GO:0005912",1,1,2,2,"adherens junction","CC"
"48","GO:0005921",1,1,1,1,"gap junction","CC"
"49","GO:0005923",1,1,1,1,"bicellular tight junction","CC"
"50","GO:0005925",1,1,1,1,"focal adhesion","CC"
"51","GO:0005929",1,1,2,2,"cilium","CC"
"52","GO:0005938",1,1,3,3,"cell cortex","CC"
"53","GO:0008021",1,1,2,2,"synaptic vesicle","CC"
"54","GO:0008287",1,1,1,1,"protein serine/threonine phosphatase complex","CC"
"55","GO:0008328",1,1,1,1,"ionotropic glutamate receptor complex","CC"
"56","GO:0009898",1,1,1,1,"cytoplasmic side of plasma membrane","CC"
"57","GO:0009925",1,1,2,2,"basal plasma membrane","CC"
"58","GO:0009986",1,1,5,5,"cell surface","CC"
"59","GO:0010008",1,1,2,2,"endosome membrane","CC"
"60","GO:0012505",1,1,12,12,"endomembrane system","CC"
"61","GO:0012506",1,1,3,3,"vesicle membrane","CC"
"62","GO:0014069",1,1,7,7,"postsynaptic density","CC"
"63","GO:0015629",1,1,4,4,"actin cytoskeleton","CC"
"64","GO:0015630",1,1,7,7,"microtubule cytoskeleton","CC"
"65","GO:0016020",1,1,31,31,"membrane","CC"
"66","GO:0016323",1,1,2,2,"basolateral plasma membrane","CC"
"67","GO:0016324",1,1,4,4,"apical plasma membrane","CC"
"68","GO:0016342",1,1,1,1,"catenin complex","CC"
