"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"285","GO:0031981",0.00756796875538702,0.996383482787486,35,70,"nuclear lumen","CC"
"284","GO:0031974",0.0152314275872248,0.991987382880943,38,79,"membrane-enclosed lumen","CC"
"408","GO:0043233",0.0152314275872248,0.991987382880943,38,79,"organelle lumen","CC"
"466","GO:0070013",0.0191033465231624,0.989788874980399,37,78,"intracellular organelle lumen","CC"
"385","GO:0042734",0.0228686106400464,0.994277031480742,10,15,"presynaptic membrane","CC"
"59","GO:0005634",0.0348538127894861,0.977468825192638,66,158,"nucleus","CC"
"110","GO:0005858",0.035539806824976,1,4,4,"axonemal dynein complex","CC"
"218","GO:0030286",0.035539806824976,1,4,4,"dynein complex","CC"
"364","GO:0036157",0.035539806824976,1,4,4,"outer dynein arm","CC"
"539","GO:0098685",0.0361595825652565,0.996575323235488,5,6,"Schaffer collateral - CA1 synapse","CC"
"29","GO:0001650",0.0495964137289688,1,3,3,"fibrillar center","CC"
"546","GO:0098793",0.0497569543469482,0.976347262260109,20,38,"presynapse","CC"
"63","GO:0005654",0.0567403497291024,0.969049978874632,26,56,"nucleoplasm","CC"
"222","GO:0030424",0.0888533777734447,0.953972455217865,19,38,"axon","CC"
"572","GO:0098982",0.0956284546047261,0.976504240013492,6,9,"GABA-ergic synapse","CC"
"327","GO:0033270",0.0968098270014396,1,2,2,"paranode region of axon","CC"
"398","GO:0043209",0.0976036480714492,1,2,2,"myelin sheath","CC"
"115","GO:0005875",0.111962316652208,0.977094328787291,5,7,"microtubule associated complex","CC"
"60","GO:0005635",0.117763923475185,0.961535927083513,7,12,"nuclear envelope","CC"
"422","GO:0044299",0.119761764264671,1,2,2,"C-fiber","CC"
"20","GO:0000793",0.121074447918686,0.976934894268644,4,6,"condensed chromosome","CC"
"599","GO:0110165",0.12798464861002,0.937799469857552,212,578,"cellular anatomical entity","CC"
"279","GO:0031965",0.135860402924011,0.964937851802315,5,8,"nuclear membrane","CC"
"203","GO:0030054",0.136809232498637,0.906794607630755,42,96,"cell junction","CC"
"543","GO:0098690",0.13686910883544,1,2,2,"glycinergic synapse","CC"
"497","GO:0097060",0.141166420129871,0.92832270658832,14,28,"synaptic membrane","CC"
"302","GO:0032587",0.146017955814129,1,2,2,"ruffle membrane","CC"
"27","GO:0001518",0.148246266301837,0.969187880009388,4,6,"voltage-gated sodium channel complex","CC"
"217","GO:0030175",0.149955731309564,0.980728318089602,3,4,"filopodium","CC"
"188","GO:0016607",0.150079765812968,1,2,2,"nuclear speck","CC"
