"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1719","GO:0014074",0.000331093136085301,1,19,19,"response to purine-containing compound","BP"
"4037","GO:0046683",0.000725211799040564,1,17,17,"response to organophosphorus","BP"
"4180","GO:0048513",0.00110314455802811,0.999365263020837,173,233,"animal organ development","BP"
"1420","GO:0009653",0.00123087694663141,0.99931764752667,146,194,"anatomical structure morphogenesis","BP"
"1442","GO:0009888",0.00161674312524006,0.999158682582494,113,148,"tissue development","BP"
"4301","GO:0048856",0.00171073026501927,0.998884461821521,301,424,"anatomical structure development","BP"
"4638","GO:0051591",0.00178942859692839,1,15,15,"response to cAMP","BP"
"4270","GO:0048731",0.00209196008479724,0.998681088930355,227,314,"system development","BP"
"1097","GO:0007275",0.00232617733155415,0.998499559169755,253,353,"multicellular organism development","BP"
"6572","GO:1902905",0.00365097561202051,1,13,13,"positive regulation of supramolecular fiber organization","BP"
"2204","GO:0030154",0.00367203667440636,0.997619863049095,228,318,"cell differentiation","BP"
"4306","GO:0048869",0.00367203667440636,0.997619863049095,228,318,"cellular developmental process","BP"
"3470","GO:0043410",0.0038270317185451,0.999252830440292,25,28,"positive regulation of MAPK cascade","BP"
"2586","GO:0032502",0.00515412991776713,0.996464240254299,318,454,"developmental process","BP"
"204","GO:0001837",0.00755473109014174,1,11,11,"epithelial to mesenchymal transition","BP"
"2585","GO:0032501",0.00781977165763433,0.99454348042047,314,450,"multicellular organismal process","BP"
"2979","GO:0035239",0.00787898390880431,0.996559854793461,54,68,"tube morphogenesis","BP"
"2133","GO:0022008",0.00789514622410328,0.995404182053765,115,154,"neurogenesis","BP"
"1120","GO:0007399",0.00959651262408023,0.99400074887942,145,198,"nervous system development","BP"
"4469","GO:0051051",0.0108181181870228,0.996847922628743,28,33,"negative regulation of transport","BP"
"2990","GO:0035295",0.0111052171748999,0.994423603491163,67,87,"tube development","BP"
"4243","GO:0048667",0.0119259877295496,0.995627623668933,37,45,"cell morphogenesis involved in neuron differentiation","BP"
"4929","GO:0060485",0.0128368147520765,0.997744214285095,18,20,"mesenchyme development","BP"
"1123","GO:0007409",0.0131660073164878,0.996061052311126,28,33,"axonogenesis","BP"
"4202","GO:0048562",0.0132478830674143,0.997659050329191,18,20,"embryonic organ morphogenesis","BP"
"2183","GO:0030030",0.0139558719197344,0.991888937080037,98,131,"cell projection organization","BP"
"5407","GO:0071320",0.0149682802530043,1,10,10,"cellular response to cAMP","BP"
"4242","GO:0048666",0.0149916951511527,0.991886560374895,77,101,"neuron development","BP"
"4350","GO:0050731",0.0150865418466046,1,10,10,"positive regulation of peptidyl-tyrosine phosphorylation","BP"
"138","GO:0001570",0.0153177783179231,1,10,10,"vasculogenesis","BP"
"4373","GO:0050793",0.0159537462228474,0.989686803838735,144,199,"regulation of developmental process","BP"
"2123","GO:0021954",0.0170968719921849,1,10,10,"central nervous system neuron development","BP"
"4255","GO:0048699",0.0176805457682099,0.989633249829665,94,126,"generation of neurons","BP"
"5556","GO:0072001",0.0185272738301522,0.99482815096097,24,28,"renal system development","BP"
"6110","GO:0120036",0.018668679249597,0.988938144487895,96,129,"plasma membrane bounded cell projection organization","BP"
"115","GO:0001501",0.0216368697572364,0.991569927137837,34,42,"skeletal system development","BP"
"4909","GO:0060429",0.0218737099243658,0.988559943398322,62,81,"epithelium development","BP"
"7","GO:0000041",0.0218825269703774,1,9,9,"transition metal ion transport","BP"
"7208","GO:2000377",0.021990618563156,1,9,9,"regulation of reactive oxygen species metabolic process","BP"
"2378","GO:0031175",0.0229122335102038,0.987332558221061,72,95,"neuron projection development","BP"
"2215","GO:0030182",0.0236379578567944,0.985951297695454,90,121,"neuron differentiation","BP"
"1050","GO:0007167",0.0241677375545126,0.987261238581432,61,80,"enzyme-linked receptor protein signaling pathway","BP"
"4206","GO:0048568",0.0244411575205518,0.990850606135319,31,38,"embryonic organ development","BP"
"4417","GO:0050878",0.024691043397431,0.993908178409401,19,22,"regulation of body fluid levels","BP"
"1937","GO:0018212",0.0265133582809612,0.993374397988479,19,22,"peptidyl-tyrosine modification","BP"
"6750","GO:1903828",0.0266460017071702,0.993335244668897,19,22,"negative regulation of protein localization","BP"
"4280","GO:0048762",0.0275332956246428,0.996646164010266,12,13,"mesenchymal cell differentiation","BP"
"2179","GO:0030001",0.0303743260115903,0.986186719452168,40,51,"metal ion transport","BP"
"5605","GO:0072359",0.0315502176221167,0.981431817174546,78,105,"circulatory system development","BP"
"1360","GO:0009259",0.0316074684919535,0.990582039764498,21,25,"ribonucleotide metabolic process","BP"
"194","GO:0001822",0.0321620997442705,0.990315909809585,22,26,"kidney development","BP"
"4215","GO:0048598",0.032630203457122,0.986055722432237,35,44,"embryonic morphogenesis","BP"
"5132","GO:0061564",0.0329421451727898,0.985904861335632,35,44,"axon development","BP"
"767","GO:0006469",0.0343426879580959,0.992964432677874,15,17,"negative regulation of protein kinase activity","BP"
"1313","GO:0009161",0.0346479416485087,1,8,8,"ribonucleoside monophosphate metabolic process","BP"
"2217","GO:0030198",0.0359552979633376,0.992561493347073,15,17,"extracellular matrix organization","BP"
"3380","GO:0043062",0.0359552979633376,0.992561493347073,15,17,"extracellular structure organization","BP"
"3682","GO:0045229",0.0359552979633376,0.992561493347073,15,17,"external encapsulating structure organization","BP"
"3394","GO:0043113",0.0366956243904746,1,8,8,"receptor clustering","BP"
"1177","GO:0007623",0.0369731137729119,0.995161836978772,12,13,"circadian rhythm","BP"
"1441","GO:0009887",0.0378048486148492,0.980192733361973,52,68,"animal organ morphogenesis","BP"
"3710","GO:0045595",0.0392788594206979,0.975315033958888,92,126,"regulation of cell differentiation","BP"
"1304","GO:0009150",0.0395662932325009,0.987832090983811,20,24,"purine ribonucleotide metabolic process","BP"
"504","GO:0003007",0.0400571883141329,0.987556756466775,21,25,"heart morphogenesis","BP"
"136","GO:0001568",0.0420637274845223,0.979099623737737,43,56,"blood vessel development","BP"
"4650","GO:0051640",0.0424528688218458,0.977995397287711,47,62,"organelle localization","BP"
"4857","GO:0060322",0.0439442715039707,0.978463185492372,43,55,"head development","BP"
"1127","GO:0007417",0.04599930203914,0.97423385916283,59,78,"central nervous system development","BP"
"4181","GO:0048514",0.0476595613293973,0.977948036974639,35,45,"blood vessel morphogenesis","BP"
"3089","GO:0035914",0.0483156955629753,1,7,7,"skeletal muscle cell differentiation","BP"
"1284","GO:0009126",0.0487014270433343,1,7,7,"purine nucleoside monophosphate metabolic process","BP"
"1319","GO:0009167",0.0487014270433343,1,7,7,"purine ribonucleoside monophosphate metabolic process","BP"
"1923","GO:0018108",0.0489648018314788,0.98649473405107,17,20,"peptidyl-tyrosine phosphorylation","BP"
"3806","GO:0045824",0.0492972619247098,1,7,7,"negative regulation of innate immune response","BP"
"3714","GO:0045599",0.0502515267006544,1,7,7,"negative regulation of fat cell differentiation","BP"
"5557","GO:0072006",0.0504578495321927,0.992976487986639,11,12,"nephron development","BP"
"3671","GO:0045165",0.0510477739057527,0.988730305736351,14,16,"cell fate commitment","BP"
"5915","GO:0097435",0.051069672447805,0.973465106555296,45,59,"supramolecular fiber organization","BP"
"7175","GO:2000243",0.0522630499808158,1,7,7,"positive regulation of reproductive process","BP"
"4709","GO:0051955",0.052764705708751,1,7,7,"regulation of amino acid transport","BP"
"4178","GO:0048511",0.0531870518652105,0.98271900783149,20,24,"rhythmic process","BP"
"3559","GO:0044089",0.0543701465612604,0.976312915961864,30,38,"positive regulation of cellular component biogenesis","BP"
"4313","GO:0050000",0.0546535398382807,0.992390084414422,10,11,"chromosome localization","BP"
"4565","GO:0051303",0.0546535398382807,0.992390084414422,10,11,"establishment of chromosome localization","BP"
"4570","GO:0051310",0.0546535398382807,0.992390084414422,10,11,"metaphase chromosome alignment","BP"
"2406","GO:0031344",0.0559742365290312,0.97003393125937,47,62,"regulation of cell projection organization","BP"
"6109","GO:0120035",0.0559742365290312,0.97003393125937,47,62,"regulation of plasma membrane bounded cell projection organization","BP"
"1128","GO:0007420",0.0565122733966902,0.972268266977664,39,50,"brain development","BP"
"3324","GO:0042692",0.0565238875025379,0.971680489432526,39,51,"muscle cell differentiation","BP"
