"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"2544","GO:0048812",0.00151996279001674,1,12,12,"neuron projection morphogenesis","BP"
"2554","GO:0048858",0.00151996279001674,1,12,12,"cell projection morphogenesis","BP"
"3614","GO:0120039",0.00151996279001674,1,12,12,"plasma membrane bounded cell projection morphogenesis","BP"
"2519","GO:0048667",0.00177080109801893,1,12,12,"cell morphogenesis involved in neuron differentiation","BP"
"3086","GO:0061564",0.00462872842421066,1,10,10,"axon development","BP"
"674","GO:0007409",0.00772637405271854,1,9,9,"axonogenesis","BP"
"36","GO:0000902",0.0109815865328905,0.998248266303302,15,17,"cell morphogenesis","BP"
"2488","GO:0048568",0.0134925910559413,0.998665022374305,11,12,"embryonic organ development","BP"
"675","GO:0007411",0.0135639702092566,1,8,8,"axon guidance","BP"
"3517","GO:0097485",0.0135639702092566,1,8,8,"neuron projection guidance","BP"
"1895","GO:0040011",0.016532103823036,0.996436575901122,16,19,"locomotion","BP"
"1435","GO:0031175",0.0192776549548348,0.995020925993214,18,22,"neuron projection development","BP"
"2485","GO:0048562",0.0229183044637744,0.997506786076025,10,11,"embryonic organ morphogenesis","BP"
"2007","GO:0043009",0.0243113722709722,0.99570745894274,12,14,"chordate embryonic development","BP"
"2709","GO:0051129",0.0249417173480756,0.997229754150778,10,11,"negative regulation of cellular component organization","BP"
"2113","GO:0043583",0.0282257240732953,1,7,7,"ear development","BP"
"1896","GO:0040012",0.032872851330643,0.992156508860037,14,17,"regulation of locomotion","BP"
"650","GO:0007264",0.0356348924363909,0.99579004882489,9,10,"small GTPase-mediated signal transduction","BP"
"1661","GO:0033043",0.0361639419707737,0.991199353707702,14,17,"regulation of organelle organization","BP"
"2708","GO:0051128",0.0362322675306276,0.98489927020954,28,38,"regulation of cellular component organization","BP"
"1456","GO:0031344",0.0363783393507389,0.992972709273568,12,14,"regulation of cell projection organization","BP"
"3612","GO:0120035",0.0363783393507389,0.992972709273568,12,14,"regulation of plasma membrane bounded cell projection organization","BP"
"1894","GO:0040008",0.0369904187692703,0.995585558992295,9,10,"regulation of growth","BP"
"3482","GO:0090596",0.0393494020967404,0.995224155410908,9,10,"sensory organ morphogenesis","BP"
"2839","GO:0051928",0.0419463358232863,1,6,6,"positive regulation of calcium ion transport","BP"
"644","GO:0007224",0.0425659745745416,1,6,6,"smoothened signaling pathway","BP"
"2965","GO:0060341",0.0442315859443562,0.991054678316644,12,14,"regulation of cellular localization","BP"
"1377","GO:0030334",0.0455007710062729,0.988557481839322,13,16,"regulation of cell migration","BP"
"4069","GO:2000145",0.0455007710062729,0.988557481839322,13,16,"regulation of cell motility","BP"
"1160","GO:0016477",0.0463365661591321,0.982571307252135,21,28,"cell migration","BP"
"470","GO:0006508",0.0463594815514324,0.983642017650069,19,25,"proteolysis","BP"
"1428","GO:0031032",0.047312787044938,1,6,6,"actomyosin structure organization","BP"
"2546","GO:0048839",0.0518442935542224,1,6,6,"inner ear development","BP"
"1321","GO:0030036",0.0526766988464561,0.986311660007012,13,16,"actin cytoskeleton organization","BP"
"2472","GO:0048519",0.0539620983667467,0.969932552926437,51,76,"negative regulation of biological process","BP"
"2791","GO:0051493",0.057967919169548,0.992392063232588,8,9,"regulation of cytoskeleton organization","BP"
"1316","GO:0030029",0.0610450984356586,0.981065411525335,15,19,"actin filament-based process","BP"
"862","GO:0009792",0.0613763762988745,0.983762486695885,12,15,"embryo development ending in birth or egg hatching","BP"
"2133","GO:0044092",0.0617658325814947,0.98699072666011,10,12,"negative regulation of molecular function","BP"
"3175","GO:0070555",0.0631300454519547,1,5,5,"response to interleukin-1","BP"
"1626","GO:0032880",0.065253830252117,0.98573637765394,11,13,"regulation of protein localization","BP"
"951","GO:0010639",0.065377772444955,1,5,5,"negative regulation of organelle organization","BP"
"2271","GO:0045833",0.0691509201760981,1,5,5,"negative regulation of lipid metabolic process","BP"
"1961","GO:0042471",0.0696102246332718,1,5,5,"ear morphogenesis","BP"
"849","GO:0009653",0.072017077223102,0.962997383571434,34,49,"anatomical structure morphogenesis","BP"
"2559","GO:0048870",0.0721485118259886,0.966052395372949,27,38,"cell motility","BP"
"1899","GO:0040017",0.0724148085884801,0.984076829311668,10,12,"positive regulation of locomotion","BP"
"3940","GO:1904427",0.073508354328329,1,5,5,"positive regulation of calcium ion transmembrane transport","BP"
"2474","GO:0048523",0.0739657261975997,0.958028472283198,46,69,"negative regulation of cellular process","BP"
"913","GO:0010466",0.0744356863015805,1,5,5,"negative regulation of peptidase activity","BP"
"2776","GO:0051346",0.0744356863015805,1,5,5,"negative regulation of hydrolase activity","BP"
"687","GO:0007517",0.0762197273534136,1,5,5,"muscle organ development","BP"
"3510","GO:0097305",0.0762912512427326,1,5,5,"response to alcohol","BP"
"628","GO:0007165",0.0785195868328204,0.952418590185174,61,93,"signal transduction","BP"
"1210","GO:0019538",0.079001420166687,0.955610749173207,43,64,"protein metabolic process","BP"
"680","GO:0007423",0.079226252967927,0.974302089806889,14,18,"sensory organ development","BP"
"2526","GO:0048706",0.0835696513375341,0.988131423541798,7,8,"embryonic skeletal system development","BP"
"1285","GO:0022008",0.0844832259659141,0.960434157616901,25,35,"neurogenesis","BP"
"882","GO:0009966",0.0874371523255068,0.953136963791408,35,51,"regulation of signal transduction","BP"
"1642","GO:0032956",0.0886046422193863,0.987160267072457,7,8,"regulation of actin cytoskeleton organization","BP"
"3636","GO:0140694",0.0890115883978143,0.987080776599106,7,8,"non-membrane-bounded organelle assembly","BP"
"2801","GO:0051592",0.090456334025828,1,5,5,"response to calcium ion","BP"
"732","GO:0008202",0.0912612814035268,0.979102375816461,9,11,"steroid metabolic process","BP"
"2292","GO:0045927",0.0924781328750708,0.98639765124577,7,8,"positive regulation of growth","BP"
"2504","GO:0048638",0.0967922196917257,0.985532659949136,7,8,"regulation of developmental growth","BP"
"1021","GO:0010975",0.0970692241740534,0.985476561501308,7,8,"regulation of neuron projection development","BP"
"2129","GO:0044087",0.0972565083513988,0.963921388804101,15,20,"regulation of cellular component biogenesis","BP"
"1378","GO:0030335",0.100751503899427,0.976231825217227,9,11,"positive regulation of cell migration","BP"
"4071","GO:2000147",0.100751503899427,0.976231825217227,9,11,"positive regulation of cell motility","BP"
"1233","GO:0021510",0.102408327961678,1,4,4,"spinal cord development","BP"
"3644","GO:0141124",0.103112218120105,0.951941679596954,22,31,"intracellular signaling cassette","BP"
"3057","GO:0061061",0.104078320360313,0.964467993688184,13,17,"muscle structure development","BP"
"634","GO:0007179",0.105918338068717,1,4,4,"transforming growth factor beta receptor signaling pathway","BP"
"869","GO:0009888",0.10815639286559,0.943343964779841,29,42,"tissue development","BP"
"1344","GO:0030182",0.113775256270773,0.945975841096548,22,31,"neuron differentiation","BP"
"2511","GO:0048646",0.115753412909577,0.94947929758088,18,25,"anatomical structure formation involved in morphogenesis","BP"
"2714","GO:0051147",0.115858972058196,1,4,4,"regulation of muscle cell differentiation","BP"
"1276","GO:0021915",0.11827367891908,1,4,4,"neural tube development","BP"
"2518","GO:0048666",0.121103988188508,0.94404514275343,20,28,"neuron development","BP"
"712","GO:0007623",0.121808606426534,1,4,4,"circadian rhythm","BP"
"2597","GO:0050767",0.123175363474455,1,4,4,"regulation of neurogenesis","BP"
"553","GO:0006874",0.123377773393126,0.979849649670424,7,8,"intracellular calcium ion homeostasis","BP"
"2871","GO:0055074",0.123377773393126,0.979849649670424,7,8,"calcium ion homeostasis","BP"
"860","GO:0009790",0.123792593626628,0.951976041045003,14,19,"embryo development","BP"
"2612","GO:0050794",0.125396237375696,0.915629749932382,105,169,"regulation of cellular process","BP"
"2702","GO:0051093",0.125689394675493,0.961416467537917,10,13,"negative regulation of developmental process","BP"
"1361","GO:0030239",0.125766645277608,1,4,4,"myofibril assembly","BP"
"1375","GO:0030326",0.126151575710172,1,4,4,"embryonic limb morphogenesis","BP"
"1784","GO:0035107",0.126151575710172,1,4,4,"appendage morphogenesis","BP"
"1785","GO:0035108",0.126151575710172,1,4,4,"limb morphogenesis","BP"
"1786","GO:0035113",0.126151575710172,1,4,4,"embryonic appendage morphogenesis","BP"
"1339","GO:0030163",0.126330203710682,0.961161938862184,10,13,"protein catabolic process","BP"
"1810","GO:0035556",0.127178753663573,0.929387698470058,31,46,"intracellular signal transduction","BP"
"39","GO:0001501",0.12773375287275,0.954720214469057,12,16,"skeletal system development","BP"
"1962","GO:0042472",0.127979684857694,1,4,4,"inner ear morphogenesis","BP"
"3962","GO:1904888",0.128045899468514,1,4,4,"cranial skeletal system development","BP"
"1919","GO:0042127",0.128489310413922,0.940327892369096,19,27,"regulation of cell population proliferation","BP"
"2524","GO:0048704",0.129638287679677,0.979322904588406,6,7,"embryonic skeletal system morphogenesis","BP"
"2225","GO:0045596",0.130951719988197,0.96735349057385,8,10,"negative regulation of cell differentiation","BP"
"3511","GO:0097306",0.132197717265276,1,4,4,"cellular response to alcohol","BP"
"631","GO:0007169",0.132221222615709,0.96692993773343,8,10,"cell surface receptor protein tyrosine kinase signaling pathway","BP"
"1975","GO:0042594",0.132811781779787,0.978610921675236,6,7,"response to starvation","BP"
"747","GO:0008344",0.132903035132097,1,4,4,"adult locomotory behavior","BP"
"3738","GO:1901617",0.13484095241639,0.978151364052601,6,7,"organic hydroxy compound biosynthetic process","BP"
"3081","GO:0061448",0.136051243724548,0.977875667289866,6,7,"connective tissue development","BP"
"2473","GO:0048522",0.136368023011991,0.911538318925122,59,92,"positive regulation of cellular process","BP"
"3515","GO:0097435",0.140302124378713,0.948990097665852,12,16,"supramolecular fiber organization","BP"
"741","GO:0008283",0.141880429589349,0.928094528332723,22,32,"cell population proliferation","BP"
"2048","GO:0043270",0.142160634418439,0.976465855608849,6,7,"positive regulation of monoatomic ion transport","BP"
"595","GO:0007015",0.142374507471344,0.963483545884406,8,10,"actin filament organization","BP"
"2855","GO:0052547",0.142421758586606,0.976404925617823,6,7,"regulation of peptidase activity","BP"
"2611","GO:0050793",0.14274778733472,0.925448243656889,24,35,"regulation of developmental process","BP"
"2826","GO:0051726",0.14497861388902,0.953558689800862,10,13,"regulation of cell cycle","BP"
"359","GO:0003205",0.145153583102554,1,4,4,"cardiac chamber development","BP"
"360","GO:0003206",0.145153583102554,1,4,4,"cardiac chamber morphogenesis","BP"
"367","GO:0003231",0.145153583102554,1,4,4,"cardiac ventricle development","BP"
"2224","GO:0045595",0.145629865727262,0.933718344272435,17,24,"regulation of cell differentiation","BP"
"3802","GO:1902531",0.147958534549348,0.922195284098538,24,35,"regulation of intracellular signal transduction","BP"
"952","GO:0010646",0.15083174933059,0.906848783129395,42,64,"regulation of cell communication","BP"
"1309","GO:0023051",0.15083174933059,0.906848783129395,42,64,"regulation of signaling","BP"
"2825","GO:0051716",0.150882523453556,0.897837536117852,74,118,"cellular response to stimulus","BP"
"1966","GO:0042490",0.151295002295464,1,4,4,"mechanoreceptor differentiation","BP"
"1317","GO:0030030",0.15135790837567,0.919696669730787,25,36,"cell projection organization","BP"
"3613","GO:0120036",0.15135790837567,0.919696669730787,25,36,"plasma membrane bounded cell projection organization","BP"
"2769","GO:0051336",0.15298373862829,0.959771932543622,8,10,"regulation of hydrolase activity","BP"
"658","GO:0007275",0.155776057678829,0.896829902953899,60,94,"multicellular organism development","BP"
"2998","GO:0060491",0.15963988438745,0.972266481214875,6,7,"regulation of cell projection assembly","BP"
"3609","GO:0120032",0.15963988438745,0.972266481214875,6,7,"regulation of plasma membrane bounded cell projection assembly","BP"
"569","GO:0006935",0.161537157953262,0.971795976460992,6,7,"chemotaxis","BP"
"1948","GO:0042330",0.161537157953262,0.971795976460992,6,7,"taxis","BP"
"2845","GO:0051960",0.163428641633772,0.971324057528854,6,7,"regulation of nervous system development","BP"
"1550","GO:0032501",0.16479414969008,0.886415604406375,81,129,"multicellular organismal process","BP"
"1652","GO:0032970",0.167148718993136,0.954643289289122,8,10,"regulation of actin filament-based process","BP"
"2522","GO:0048699",0.167423297236728,0.912264952587966,22,32,"generation of neurons","BP"
"2974","GO:0060395",0.169047304513911,1,3,3,"SMAD protein signal transduction","BP"
"2608","GO:0050789",0.170922758223265,0.88087830883637,110,179,"regulation of biological process","BP"
"3122","GO:0065009",0.171532082737986,0.91578455449432,18,26,"regulation of molecular function","BP"
