"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"400","GO:0009653",0.00166802545617097,1,17,17,"anatomical structure morphogenesis","BP"
"1597","GO:0072359",0.0137857993568281,1,13,13,"circulatory system development","BP"
"309","GO:0007275",0.0175967249056577,0.997642350117987,21,24,"multicellular organism development","BP"
"1197","GO:0048731",0.0175967249056577,0.997642350117987,21,24,"system development","BP"
"409","GO:0009887",0.0182291240757034,1,11,11,"animal organ morphogenesis","BP"
"630","GO:0030030",0.0233586565477293,1,10,10,"cell projection organization","BP"
"1717","GO:0120036",0.0233586565477293,1,10,10,"plasma membrane bounded cell projection organization","BP"
"34","GO:0001568",0.0295288001845679,1,11,11,"blood vessel development","BP"
"71","GO:0001944",0.0295288001845679,1,11,11,"vasculature development","BP"
"974","GO:0043170",0.0363771856775078,0.993541293576308,20,24,"macromolecule metabolic process","BP"
"24","GO:0000902",0.0408743705435488,1,9,9,"cell morphogenesis","BP"
"1181","GO:0048646",0.0480836826749385,1,10,10,"anatomical structure formation involved in morphogenesis","BP"
"1192","GO:0048699",0.0545656946190909,1,9,9,"generation of neurons","BP"
"421","GO:0009967",0.0572048068028588,1,9,9,"positive regulation of signal transduction","BP"
"466","GO:0010647",0.0572048068028588,1,9,9,"positive regulation of cell communication","BP"
"624","GO:0023056",0.0572048068028588,1,9,9,"positive regulation of signaling","BP"
"364","GO:0009059",0.0622476574827198,0.986965236243499,19,23,"macromolecule biosynthetic process","BP"
"440","GO:0010467",0.0622476574827198,0.986965236243499,19,23,"gene expression","BP"
"1035","GO:0044249",0.0622476574827198,0.986965236243499,19,23,"cellular biosynthetic process","BP"
"284","GO:0007155",0.063224759940147,1,9,9,"cell adhesion","BP"
"1409","GO:0060341",0.0679747940381527,1,6,6,"regulation of cellular localization","BP"
"614","GO:0022603",0.0707143745482934,1,8,8,"regulation of anatomical structure morphogenesis","BP"
"416","GO:0009894",0.0710258936330984,1,7,7,"regulation of catabolic process","BP"
"1246","GO:0050793",0.0756455999242018,0.99060877737925,12,13,"regulation of developmental process","BP"
"1243","GO:0050789",0.0757775553953288,0.984469602700763,24,30,"regulation of biological process","BP"
"1306","GO:0051239",0.0767127239350796,0.990529320784256,11,12,"regulation of multicellular organismal process","BP"
"48","GO:0001775",0.078827781786669,1,7,7,"cell activation","BP"
"870","GO:0035239",0.0790018009617331,1,8,8,"tube morphogenesis","BP"
"873","GO:0035295",0.0790018009617331,1,8,8,"tube development","BP"
"1159","GO:0048514",0.0790018009617331,1,8,8,"blood vessel morphogenesis","BP"
"1400","GO:0060255",0.0839232492318538,0.981831269017087,16,19,"regulation of macromolecule metabolic process","BP"
"28","GO:0001501",0.0846617745780264,1,8,8,"skeletal system development","BP"
"1162","GO:0048522",0.0891977634223514,0.97912337480656,19,23,"positive regulation of cellular process","BP"
"320","GO:0007507",0.0931612325833659,1,8,8,"heart development","BP"
"1247","GO:0050794",0.0954771630818155,0.977459384909753,22,27,"regulation of cellular process","BP"
"392","GO:0009611",0.10594858451905,1,7,7,"response to wounding","BP"
"916","GO:0042060",0.10594858451905,1,7,7,"wound healing","BP"
"651","GO:0030182",0.106559026730901,1,7,7,"neuron differentiation","BP"
"695","GO:0031175",0.106559026730901,1,7,7,"neuron projection development","BP"
"1186","GO:0048666",0.106559026730901,1,7,7,"neuron development","BP"
"790","GO:0032880",0.111251592044923,1,5,5,"regulation of protein localization","BP"
"710","GO:0031344",0.111309262940368,1,7,7,"regulation of cell projection organization","BP"
