"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"4425","GO:0065008",0.000246093938350405,0.99989937806812,111,136,"regulation of biological quality","BP"
"1798","GO:0030029",0.000491543436636681,0.999872725610941,51,58,"actin filament-based process","BP"
"1800","GO:0030031",0.000513769371316414,0.999962656180689,27,28,"cell projection assembly","BP"
"5288","GO:0120031",0.000513769371316414,0.999962656180689,27,28,"plasma membrane bounded cell projection assembly","BP"
"798","GO:0007015",0.000566020027371722,0.999908425405442,35,38,"actin filament organization","BP"
"2027","GO:0031589",0.00058741044412104,0.999956882050277,26,27,"cell-substrate adhesion","BP"
"1802","GO:0030036",0.00111852278837556,0.999691226700361,48,55,"actin cytoskeleton organization","BP"
"2497","GO:0035295",0.00178873393583914,0.999423663947225,54,63,"tube development","BP"
"2258","GO:0032956",0.00260023861814515,0.99962367717451,26,28,"regulation of actin cytoskeleton organization","BP"
"3831","GO:0051336",0.00262067591072341,0.999507249187997,30,33,"regulation of hydrolase activity","BP"
"3794","GO:0051241",0.00265276695179896,0.999211473268663,45,52,"negative regulation of multicellular organismal process","BP"
"1322","GO:0010810",0.0028270405949333,1,16,16,"regulation of cell-substrate adhesion","BP"
"2489","GO:0035239",0.0030826149762344,0.999069769304331,45,52,"tube morphogenesis","BP"
"77","GO:0001525",0.00417504842280572,0.999171098611319,29,32,"angiogenesis","BP"
"86","GO:0001568",0.00470282254027971,0.998625349185329,40,46,"blood vessel development","BP"
"3512","GO:0048646",0.00518178749959766,0.997960568388527,59,71,"anatomical structure formation involved in morphogenesis","BP"
"2407","GO:0034329",0.00535492201131973,0.999152522927195,24,26,"cell junction assembly","BP"
"2408","GO:0034330",0.00536137068553396,0.998414786169742,39,45,"cell junction organization","BP"
"2425","GO:0034446",0.00572821445652994,1,14,14,"substrate adhesion-dependent cell spreading","BP"
"3484","GO:0048583",0.00606757549795525,0.996837792059151,112,143,"regulation of response to stimulus","BP"
"1917","GO:0030855",0.00618726179644048,0.998489900964616,31,35,"epithelial cell differentiation","BP"
