"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"3290","GO:0060429",1.17600520698469e-05,0.999999083609207,25,27,"epithelium development","BP"
"692","GO:0007166",0.000152083934001946,0.999953442707452,46,62,"cell surface receptor signaling pathway","BP"
"991","GO:0009888",0.000232284220142648,0.999936838307304,39,50,"tissue development","BP"
"55","GO:0001568",0.00046285792652862,0.999935379664254,21,24,"blood vessel development","BP"
"134","GO:0001944",0.00046285792652862,0.999935379664254,21,24,"vasculature development","BP"
"1560","GO:0030855",0.000652922572687122,0.999959203029814,14,15,"epithelial cell differentiation","BP"
"3712","GO:0072359",0.00105069509462757,0.999741720509763,28,35,"circulatory system development","BP"
"2857","GO:0048729",0.00138791949642757,0.99990257368456,14,15,"tissue morphogenesis","BP"
"2782","GO:0048514",0.00140985769806584,0.999780378161233,19,22,"blood vessel morphogenesis","BP"
"1995","GO:0035239",0.00171027571872041,0.999675226599923,21,25,"tube morphogenesis","BP"
"50","GO:0001525",0.0019114215557446,0.999765621112117,16,18,"angiogenesis","BP"
"810","GO:0008283",0.00198115345342708,0.999375451375486,32,43,"cell population proliferation","BP"
"811","GO:0008284",0.00231179547334275,0.999443164665321,23,29,"positive regulation of cell population proliferation","BP"
"1522","GO:0030335",0.00370044454568187,0.999507069920742,15,17,"positive regulation of cell migration","BP"
"143","GO:0002009",0.0038755435673787,1,9,9,"morphogenesis of an epithelium","BP"
"2143","GO:0042127",0.00420751304134024,0.998586729685795,30,41,"regulation of cell population proliferation","BP"
"2826","GO:0048646",0.0064310534064583,0.998004078863449,26,34,"anatomical structure formation involved in morphogenesis","BP"
"2930","GO:0050793",0.00698208700645914,0.996973423490628,43,63,"regulation of developmental process","BP"
"2781","GO:0048513",0.00753262165104789,0.996497438497231,51,76,"animal organ development","BP"
"626","GO:0006935",0.0075356595894595,0.999359035341887,10,11,"chemotaxis","BP"
"2174","GO:0042330",0.0075356595894595,0.999359035341887,10,11,"taxis","BP"
"2159","GO:0042221",0.00810708683130265,0.996109478049087,54,82,"response to chemical","BP"
"1033","GO:0010468",0.00877796300471445,0.995668503712215,57,88,"regulation of gene expression","BP"
"3045","GO:0051239",0.0089319323536765,0.995843861312827,48,72,"regulation of multicellular organismal process","BP"
"3132","GO:0051716",0.0091840531036412,0.995022076734705,85,138,"cellular response to stimulus","BP"
"2985","GO:0050920",0.00937614226897123,1,7,7,"regulation of chemotaxis","BP"
"2986","GO:0050921",0.00937614226897123,1,7,7,"positive regulation of chemotaxis","BP"
"691","GO:0007165",0.00989290832953286,0.994823299323181,68,108,"signal transduction","BP"
"2122","GO:0040017",0.0102801952417713,0.997981045816066,15,18,"positive regulation of locomotion","BP"
"4547","GO:2000147",0.0102801952417713,0.997981045816066,15,18,"positive regulation of cell motility","BP"
"971","GO:0009653",0.0107008553471692,0.995317464549101,40,58,"anatomical structure morphogenesis","BP"
"2004","GO:0035295",0.0109142902160008,0.996618965193416,23,30,"tube development","BP"
"1044","GO:0010556",0.0109530944681147,0.994427034872549,59,92,"regulation of macromolecule biosynthetic process","BP"
"826","GO:0008544",0.0112167653840938,1,7,7,"epidermis development","BP"
"1599","GO:0031326",0.0122896935181023,0.993617851178079,61,96,"regulation of cellular biosynthetic process","BP"
"1596","GO:0031323",0.0123290615590683,0.993441525677014,67,107,"regulation of cellular metabolic process","BP"
"4529","GO:2000026",0.0130156817647478,0.994796989362442,31,44,"regulation of multicellular organismal development","BP"
"992","GO:0009889",0.0130464844604444,0.993157027984176,62,98,"regulation of biosynthetic process","BP"
"3523","GO:0070848",0.0134227315534703,0.996450126574437,17,22,"response to growth factor","BP"
"3597","GO:0071363",0.0134227315534703,0.996450126574437,17,22,"cellular response to growth factor stimulus","BP"
"2380","GO:0044085",0.0142709591502708,0.99410304557244,32,46,"cellular component biogenesis","BP"
"1598","GO:0031325",0.0150007044867221,0.992938819389546,43,64,"positive regulation of cellular metabolic process","BP"
"990","GO:0009887",0.016656198431719,0.994949606905984,20,26,"animal organ morphogenesis","BP"
"149","GO:0002040",0.0170812281888592,1,7,7,"sprouting angiogenesis","BP"
"3046","GO:0051240",0.0179446859653521,0.992813516312583,28,40,"positive regulation of multicellular organismal process","BP"
"1000","GO:0009913",0.018817416584656,1,6,6,"epidermal cell differentiation","BP"
"3437","GO:0065007",0.0189748411440147,0.98908802152175,128,221,"biological regulation","BP"
"957","GO:0009611",0.0194320461160329,0.995878141553766,13,16,"response to wounding","BP"
"100","GO:0001818",0.0196905550078529,0.998076757535411,8,9,"negative regulation of cytokine production","BP"
"3259","GO:0060326",0.0204222347532258,0.997986688778274,8,9,"cell chemotaxis","BP"
"1059","GO:0010605",0.0208956180788245,0.990476562910451,35,52,"negative regulation of macromolecule metabolic process","BP"
"2927","GO:0050789",0.022010580036123,0.987141582472861,125,216,"regulation of biological process","BP"
"1446","GO:0022607",0.0223358392485377,0.990321483633468,31,45,"cellular component assembly","BP"
"1459","GO:0030001",0.0226613570471725,0.994184541448232,15,19,"metal ion transport","BP"
"684","GO:0007154",0.0228532216734835,0.98703622165869,70,114,"cell communication","BP"
"3389","GO:0061351",0.0232752752567129,1,6,6,"neural precursor cell proliferation","BP"
"4548","GO:2000177",0.0232752752567129,1,6,6,"regulation of neural precursor cell proliferation","BP"
"755","GO:0007507",0.0233454990021916,0.993976547420825,15,19,"heart development","BP"
"1601","GO:0031328",0.0239359459476322,0.988715432845226,37,55,"positive regulation of cellular biosynthetic process","BP"
"2585","GO:0045944",0.0260914668881482,0.99014834955887,23,32,"positive regulation of transcription by RNA polymerase II","BP"
"1337","GO:0019221",0.0268997396612392,0.994043602610219,12,15,"cytokine-mediated signaling pathway","BP"
"1455","GO:0023052",0.0274052081209556,0.984221358062938,69,113,"signaling","BP"
"3047","GO:0051241",0.0279888666838527,0.988278212919003,26,38,"negative regulation of multicellular organismal process","BP"
"479","GO:0006357",0.0289240142487134,0.986116326428152,36,54,"regulation of transcription by RNA polymerase II","BP"
"3531","GO:0070887",0.0295597504084259,0.985192468126026,40,61,"cellular response to chemical stimulus","BP"
"1338","GO:0019222",0.0295866950862072,0.982799474272056,70,115,"regulation of metabolic process","BP"
"1045","GO:0010557",0.0298445896354007,0.985827465059422,35,52,"positive regulation of macromolecule biosynthetic process","BP"
"3241","GO:0060255",0.0301999692736338,0.982709730686924,64,104,"regulation of macromolecule metabolic process","BP"
"724","GO:0007272",0.030925449524322,1,6,6,"ensheathment of neurons","BP"
"821","GO:0008366",0.030925449524322,1,6,6,"axon ensheathment","BP"
"2204","GO:0042552",0.030925449524322,1,6,6,"myelination","BP"
"98","GO:0001816",0.0310495039057632,0.990813627433538,15,20,"cytokine production","BP"
"99","GO:0001817",0.0310495039057632,0.990813627433538,15,20,"regulation of cytokine production","BP"
"2381","GO:0044087",0.0315705205929564,0.992622517804007,13,16,"regulation of cellular component biogenesis","BP"
"2978","GO:0050896",0.0325775755213456,0.980175836328809,96,163,"response to stimulus","BP"
"693","GO:0007167",0.0329237479744649,0.987981469902607,19,27,"enzyme-linked receptor protein signaling pathway","BP"
"996","GO:0009893",0.0334639845793426,0.98230635810201,45,70,"positive regulation of metabolic process","BP"
"2931","GO:0050794",0.0348120783153834,0.978737326064133,118,204,"regulation of cellular process","BP"
"1561","GO:0030856",0.0357511600112892,1,5,5,"regulation of epithelial cell differentiation","BP"
"3677","GO:0072006",0.0359184890712907,1,6,6,"nephron development","BP"
"2290","GO:0043269",0.0360438199564385,0.993349136561951,10,12,"regulation of monoatomic ion transport","BP"
"3016","GO:0051094",0.0361304666122629,0.984332833606232,26,38,"positive regulation of developmental process","BP"
"1058","GO:0010604",0.0363293311933537,0.981183764335448,41,63,"positive regulation of macromolecule metabolic process","BP"
"1440","GO:0022411",0.036391842286963,0.995815069424185,8,9,"cellular component disassembly","BP"
"685","GO:0007155",0.0366495182882386,0.985450487091318,23,32,"cell adhesion","BP"
"1739","GO:0032570",0.0376732746155152,1,5,5,"response to progesterone","BP"
"1661","GO:0032103",0.0380905516907236,0.989570901166869,13,17,"positive regulation of response to external stimulus","BP"
"2027","GO:0035710",0.0381262880188069,1,5,5,"CD4-positive, alpha-beta T cell activation","BP"
"994","GO:0009891",0.0382171072646713,0.980567708828043,38,58,"positive regulation of biosynthetic process","BP"
"1290","GO:0016477",0.0385725484317999,0.984809472836178,21,30,"cell migration","BP"
"3159","GO:0051960",0.039252461701772,0.988995109853835,14,18,"regulation of nervous system development","BP"
"1046","GO:0010558",0.0393137028671245,0.982344034990958,27,40,"negative regulation of macromolecule biosynthetic process","BP"
"11","GO:0000122",0.0394357116452527,0.987630152848029,16,21,"negative regulation of transcription by RNA polymerase II","BP"
"2788","GO:0048522",0.0399872188380928,0.976268813175173,67,110,"positive regulation of cellular process","BP"
"481","GO:0006366",0.0402366112307925,0.979725321563229,36,55,"transcription by RNA polymerase II","BP"
"1807","GO:0032869",0.0419617766655333,1,5,5,"cellular response to insulin stimulus","BP"
"740","GO:0007405",0.0429648668150725,1,5,5,"neuroblast proliferation","BP"
"4220","GO:1902692",0.0429648668150725,1,5,5,"regulation of neuroblast proliferation","BP"
"1594","GO:0031214",0.0438704031650129,1,5,5,"biomineral tissue development","BP"
"623","GO:0006915",0.044837409351901,0.979383556378233,28,41,"apoptotic process","BP"
"808","GO:0008219",0.0458698824229143,0.978012907505716,30,45,"cell death","BP"
"1152","GO:0012501",0.0458698824229143,0.978012907505716,30,45,"programmed cell death","BP"
"592","GO:0006814",0.0458796857963688,1,5,5,"sodium ion transport","BP"
"2269","GO:0043122",0.0465345156436387,0.994507903636011,7,8,"regulation of canonical NF-kappaB signal transduction","BP"
"2139","GO:0042110",0.0471305233841393,0.986774573943887,12,16,"T cell activation","BP"
