"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"360","GO:0005515",0.00141596440825267,0.999111753104201,220,334,"protein binding","MF"
"1294","GO:0098772",0.00429119664669769,0.998147677138509,51,68,"molecular function regulator activity","MF"
"428","GO:0008237",0.00970630386058664,1,9,9,"metallopeptidase activity","MF"
"1350","GO:0140110",0.0220807903574884,0.987179301530542,71,103,"transcription regulator activity","MF"
"789","GO:0019904",0.0224899137562722,0.993863293871181,18,22,"protein domain specific binding","MF"
"1048","GO:0044325",0.0277673656964087,1,7,7,"transmembrane transporter binding","MF"
"158","GO:0004222",0.0286031674953641,1,7,7,"metalloendopeptidase activity","MF"
"981","GO:0038023",0.0322761453011063,0.988683651830311,22,28,"signaling receptor activity","MF"
"1185","GO:0060089",0.0322761453011063,0.988683651830311,22,28,"molecular transducer activity","MF"
"1383","GO:0140678",0.0354074540693961,0.991215695978057,14,17,"molecular function inhibitor activity","MF"
"79","GO:0003674",0.0407993076176063,0.9720769869348,480,792,"molecular_function","MF"
"837","GO:0030545",0.0443376965631925,0.994337391378995,9,10,"signaling receptor regulator activity","MF"
"838","GO:0030546",0.0443376965631925,0.994337391378995,9,10,"signaling receptor activator activity","MF"
"88","GO:0003697",0.0446729715812377,1,6,6,"single-stranded DNA binding","MF"
"388","GO:0008092",0.0506936180707754,0.973906068370594,37,52,"cytoskeletal protein binding","MF"
"24","GO:0000981",0.0559539894985594,0.967780180641183,49,71,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"89","GO:0003700",0.0628152401320805,0.962654232018629,52,76,"DNA-binding transcription factor activity","MF"
"1102","GO:0048018",0.0671601573317966,0.990625382925906,8,9,"receptor ligand activity","MF"
"819","GO:0030246",0.0704611630690534,0.990016020760113,8,9,"carbohydrate binding","MF"
"259","GO:0004857",0.0708032279990465,0.984244644437567,10,12,"enzyme inhibitor activity","MF"
"841","GO:0030554",0.0728284180981064,0.954524940939144,59,87,"adenyl nucleotide binding","MF"
"818","GO:0030234",0.073684899246859,0.961963297157027,32,45,"enzyme regulator activity","MF"
"260","GO:0004860",0.075909111471848,1,5,5,"protein kinase inhibitor activity","MF"
"766","GO:0019210",0.075909111471848,1,5,5,"kinase inhibitor activity","MF"
"1284","GO:0097367",0.0772152091352339,0.949155506481438,72,108,"carbohydrate derivative binding","MF"
"763","GO:0019207",0.0827744759745474,0.975972427472345,12,15,"kinase regulator activity","MF"
"63","GO:0001727",0.0839214585202312,1,5,5,"lipid kinase activity","MF"
"786","GO:0019901",0.0886332260094668,0.958195255615314,24,33,"protein kinase binding","MF"
"898","GO:0032559",0.0923396170029876,0.94139599312706,56,83,"adenyl ribonucleotide binding","MF"
"91","GO:0003713",0.100028849825783,0.984654967893494,7,8,"transcription coactivator activity","MF"
"1428","GO:1901681",0.102431956184246,0.97531472455043,9,11,"sulfur compound binding","MF"
"1423","GO:1901363",0.103568496734503,0.927952664486951,81,124,"heterocyclic compound binding","MF"
"385","GO:0008080",0.111111410830958,1,4,4,"N-acetyltransferase activity","MF"
"608","GO:0016410",0.111111410830958,1,4,4,"N-acyltransferase activity","MF"
"918","GO:0034212",0.111111410830958,1,4,4,"peptide N-acetyltransferase activity","MF"
"674","GO:0016788",0.114188941111143,0.9304758766346,42,62,"hydrolase activity, acting on ester bonds","MF"
"781","GO:0019887",0.11448873977452,0.964475662751673,11,14,"protein kinase regulator activity","MF"
"1422","GO:1901265",0.11469161924218,0.920054224060236,77,118,"nucleoside phosphate binding","MF"
"791","GO:0019955",0.118268531943018,1,4,4,"cytokine binding","MF"
"637","GO:0016645",0.118526075225843,1,4,4,"oxidoreductase activity, acting on the CH-NH group of donors","MF"
"361","GO:0005516",0.119944993034026,1,4,4,"calmodulin binding","MF"
"285","GO:0005085",0.124183474545589,0.968237706197079,9,11,"guanyl-nucleotide exchange factor activity","MF"
"354","GO:0005488",0.13058175672524,0.89668999406391,391,645,"binding","MF"
"8","GO:0000166",0.130895538408417,0.907612625760543,76,117,"nucleotide binding","MF"
"81","GO:0003677",0.132113350339569,0.904571151249739,87,135,"DNA binding","MF"
"106","GO:0003779",0.134409473572832,0.941573576256384,16,22,"actin binding","MF"
"23","GO:0000978",0.13662266754986,0.912436179047114,46,69,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF"
"45","GO:0001217",0.137449902844935,0.939947331205207,16,22,"DNA-binding transcription repressor activity","MF"
"586","GO:0016247",0.138490719553336,0.977024126253778,6,7,"channel regulator activity","MF"
"1301","GO:0099106",0.138490719553336,0.977024126253778,6,7,"ion channel regulator activity","MF"
"1408","GO:0141108",0.138490719553336,0.977024126253778,6,7,"transporter regulator activity","MF"
"22","GO:0000977",0.138993416071807,0.908558640609534,51,77,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF"
"211","GO:0004553",0.143639817483258,1,4,4,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"366","GO:0005524",0.145635026818632,0.902905982447055,53,80,"ATP binding","MF"
"1027","GO:0043168",0.146199341840406,0.894636742730605,80,124,"anion binding","MF"
"14","GO:0000287",0.146473366450142,0.935062494436136,16,22,"magnesium ion binding","MF"
"90","GO:0003712",0.147035230130291,0.928133050208399,19,27,"transcription coregulator activity","MF"
"1037","GO:0043495",0.14775723655205,1,4,4,"protein-membrane adaptor activity","MF"
"570","GO:0015631",0.15196791953829,0.932045866986774,16,22,"tubulin binding","MF"
"1134","GO:0051015",0.156387190905626,0.957965792221991,8,10,"actin filament binding","MF"
"676","GO:0016791",0.162614471847722,0.93115916139443,14,19,"phosphatase activity","MF"
"735","GO:0017076",0.163200346490554,0.88398978020561,68,105,"purine nucleotide binding","MF"
"314","GO:0005216",0.165104881080815,0.936107434882234,12,16,"monoatomic ion channel activity","MF"
"536","GO:0015267",0.165104881080815,0.936107434882234,12,16,"channel activity","MF"
"795","GO:0022803",0.165104881080815,0.936107434882234,12,16,"passive transmembrane transporter activity","MF"
"288","GO:0005102",0.165521073450609,0.904383919140081,28,41,"signaling receptor binding","MF"
"1382","GO:0140677",0.165715485442139,0.913655243021994,21,30,"molecular function activator activity","MF"
"25","GO:0000987",0.174392180840165,0.88386468615473,46,70,"cis-regulatory region sequence-specific DNA binding","MF"
"845","GO:0030695",0.175561663598431,0.924186876387054,14,19,"GTPase regulator activity","MF"
"1187","GO:0060589",0.175561663598431,0.924186876387054,14,19,"nucleoside-triphosphatase regulator activity","MF"
"49","GO:0001227",0.177130543383476,0.918604660696278,15,21,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF"
"844","GO:0030674",0.178555713365562,0.88625516328968,37,56,"protein-macromolecule adaptor activity","MF"
"1003","GO:0042802",0.181198131871629,0.866117652424781,78,124,"identical protein binding","MF"
"714","GO:0016887",0.181358689188438,0.927919180735067,12,16,"ATP hydrolysis activity","MF"
"1186","GO:0060090",0.184237228498116,0.879711262299359,40,61,"molecular adaptor activity","MF"
"673","GO:0016787",0.187603500756161,0.85852344399292,90,142,"hydrolase activity","MF"
"92","GO:0003714",0.18781593819744,0.935086328461845,9,12,"transcription corepressor activity","MF"
"999","GO:0042578",0.190224897526787,0.905973207548381,17,24,"phosphoric ester hydrolase activity","MF"
"894","GO:0032553",0.196896490829796,0.85768006947698,65,101,"ribonucleotide binding","MF"
"896","GO:0032555",0.196896490829796,0.85768006947698,65,101,"purine ribonucleotide binding","MF"
"605","GO:0016407",0.197184848475416,0.963851333267898,5,6,"acetyltransferase activity","MF"
"675","GO:0016790",0.198011548794354,1,3,3,"thiolester hydrolase activity","MF"
"7","GO:0000149",0.199588241236265,1,3,3,"SNARE binding","MF"
"1058","GO:0045296",0.20000168208981,1,3,3,"cadherin binding","MF"
"541","GO:0015279",0.200594652171546,1,3,3,"store-operated calcium channel activity","MF"
"1015","GO:0043015",0.2016467323795,1,3,3,"gamma-tubulin binding","MF"
