"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"98","GO:0005178",0.0263623092264475,1,10,10,"integrin binding","MF"
"429","GO:0050839",0.0586502312065986,0.991868921924192,12,13,"cell adhesion molecule binding","MF"
"94","GO:0005102",0.0703278325901324,0.977615367476357,22,26,"signaling receptor binding","MF"
"524","GO:0140657",0.0708387616369654,0.989616722771948,12,13,"ATP-dependent activity","MF"
"137","GO:0008092",0.0743035581871984,0.976187120250412,21,25,"cytoskeletal protein binding","MF"
"117","GO:0005515",0.100676074655945,0.952549428740035,71,97,"protein binding","MF"
"297","GO:0030674",0.164884124174593,0.954386490605399,11,13,"protein-macromolecule adaptor activity","MF"
"497","GO:0098772",0.166131368712701,0.943252940075605,15,18,"molecular function regulator activity","MF"
"402","GO:0044877",0.167900422698068,0.913612108054807,36,47,"protein-containing complex binding","MF"
"396","GO:0044325",0.170477533414536,1,5,5,"transmembrane transporter binding","MF"
"527","GO:0140677",0.177684615555157,0.965819898821578,9,10,"molecular function activator activity","MF"
"378","GO:0043169",0.184761431169041,0.904469586129741,35,45,"cation binding","MF"
"408","GO:0046872",0.184761431169041,0.904469586129741,35,45,"metal ion binding","MF"
"421","GO:0048306",0.190862339319523,1,4,4,"calcium-dependent protein binding","MF"
"293","GO:0030545",0.191016189129289,1,5,5,"signaling receptor regulator activity","MF"
"294","GO:0030546",0.191016189129289,1,5,5,"signaling receptor activator activity","MF"
"417","GO:0048018",0.191016189129289,1,5,5,"receptor ligand activity","MF"
"265","GO:0019904",0.1956633170992,0.930894372068264,13,16,"protein domain specific binding","MF"
"222","GO:0016853",0.214821403347948,1,4,4,"isomerase activity","MF"
"365","GO:0042805",0.225308741291513,1,4,4,"actinin binding","MF"
"57","GO:0003779",0.226042194288802,0.91543248319074,14,17,"actin binding","MF"
"433","GO:0051015",0.232707621982947,0.926962678327917,11,13,"actin filament binding","MF"
"345","GO:0036094",0.244936787047833,0.856328615348948,48,64,"small molecule binding","MF"
"453","GO:0060090",0.257356702365829,0.901060339849236,12,15,"molecular adaptor activity","MF"
"127","GO:0005539",0.278162539210433,0.937109392640581,7,8,"glycosaminoglycan binding","MF"
"538","GO:1901681",0.278162539210433,0.937109392640581,7,8,"sulfur compound binding","MF"
"228","GO:0016887",0.30628460413326,1,4,4,"ATP hydrolysis activity","MF"
"67","GO:0004386",0.308944254242425,1,3,3,"helicase activity","MF"
"86","GO:0004866",0.312682923315844,1,3,3,"endopeptidase inhibitor activity","MF"
"289","GO:0030414",0.312682923315844,1,3,3,"peptidase inhibitor activity","MF"
"458","GO:0061135",0.312682923315844,1,3,3,"endopeptidase regulator activity","MF"
"354","GO:0042287",0.315372840936378,1,3,3,"MHC protein binding","MF"
"355","GO:0042288",0.315372840936378,1,3,3,"MHC class I protein binding","MF"
"520","GO:0140313",0.319761823185327,1,3,3,"molecular sequestering activity","MF"
"376","GO:0043167",0.328230289127516,0.79358600256984,46,62,"ion binding","MF"
"24","GO:0001786",0.337189553946935,1,3,3,"phosphatidylserine binding","MF"
"479","GO:0072341",0.337189553946935,1,3,3,"modified amino acid binding","MF"
"230","GO:0016922",0.352139602259953,1,3,3,"nuclear receptor binding","MF"
"511","GO:0140098",0.35761529501347,1,3,3,"catalytic activity, acting on RNA","MF"
"2","GO:0000146",0.365093451742922,1,3,3,"microfilament motor activity","MF"
"56","GO:0003774",0.365093451742922,1,3,3,"cytoskeletal motor activity","MF"
"116","GO:0005509",0.375311520417712,0.791490691136984,21,27,"calcium ion binding","MF"
"150","GO:0008201",0.384486522738796,0.898330617704408,6,7,"heparin binding","MF"
"113","GO:0005488",0.385290695692796,0.818698975832242,88,126,"binding","MF"
"208","GO:0016740",0.388119165035036,1,3,3,"transferase activity","MF"
"550","GO:1990782",0.390225303505813,1,3,3,"protein tyrosine kinase binding","MF"
"123","GO:0005523",0.39581999195483,1,2,2,"tropomyosin binding","MF"
"60","GO:0003824",0.40345355005696,0.757952831794858,22,30,"catalytic activity","MF"
"193","GO:0016462",0.416811675220185,0.836367622738587,8,10,"pyrophosphatase activity","MF"
"215","GO:0016817",0.416811675220185,0.836367622738587,8,10,"hydrolase activity, acting on acid anhydrides","MF"
"216","GO:0016818",0.416811675220185,0.836367622738587,8,10,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","MF"
